word,count
обязанности,44
компания,32
–,28
поддержка,25
платформы,23
решения,20
обслуживания,19
проекты,18
настройка,17
оборудования,17
group,16
масштабные,16
процессов,16
компании,15
россии,15
cicd,15
внедрению,15
промышленного,15
инфраструктуры,14
систем,14
команда,14
clover,14
реализует,14
собственной,14
интеллектуальной,14
предиктивного,14
предприятиях,14
железнодорожной,14
нефтегазовой,14
энергетической,14
металлургическо,14
клиентов,13
участие,13
ищем,12
это,12
тестирования,12
разрабатываем,11
системы,11
мониторинга,11
задачи,11
автоматизация,11
сервисов,11
данных,11
наших,10
dataart,10
занимается,10
года,10
сфере,10
развитие,10
стендов,10
администрирование,10
приложений,10
опыт,9
работы,9
развертывание,9
linux,9
разработка,9
продуктов,9
серверов,9
поддерживаем,8
которые,8
автоматизации,8
наша,8
сборки,8
разработки,8
мониторинг,8
новых,8
программного,8
kubernetes,8
обеспечение,8
работе,7
созданием,7
помогают,7
команды,7
docker,7
работа,7
поддерживать,7
лет,7
которая,7
создаем,7
обеспечения,7
возможность,7
сервис,7
внедрение,7
построения,6
человек,6
требования,6
команду,6
сервисы,6
нами,6
создавать,6
бизнеса,6
активно,6
создание,6
управления,6
принимать,6
создании,6
автоматизировать,6
управление,6
реализация,6
всему,6
миру,6
который,6
бизнесу,5
систему,5
наш,5
разработкой,5
крупнейших,5
доставки,5
разворачивания,5
разработчиков,5
сложные,5
ао,5
крупный,5
предприятий,5
установку,5
исследоватьтестировать,5
использования,5
технологийрешенийоборудования,5
существующей,5
разрабатываемой,5
ci,5
gitlab,5
услуг,5
разработке,5
выполнение,5
работоспособности,5
нам,5
компаний,5
система,5
проект,5
предстоит,5
itконсалтингом,4
проектируем,4
модернизируем,4
расти,4
начинался,4
друзей,4
отсюда,4
рамках,4
знания,4
windows,4
контроля,4
несколько,4
рынке,4
наши,4
рт,4
работу,4
нашей,4
приложения,4
сред,4
написание,4
гринатом,4
итинтегратор,4
работающий,4
итуслуг,4
атомной,4
отрасли,4
эффективные,4
растем,4
сопровождаем,4
установка,4
занимаемся,4
развертывания,4
сбербанка,4
экосистемы,4
описание,4
технологий,4
миллионов,4
ресторанов,4
скриптов,4
systems,4
тестовых,4
связи,4
команде,4
информационных,4
взаимодействия,4
отказоустойчивости,4
высокой,4
доступности,4
различных,4
системного,4
инженера,4
банк,4
поможет,4
dev,4
виртуальных,4
деплоя,4
решений,4
модели,3
настройки,3
используем,3
debian,3
полного,3
страны,3
своей,3
технологии,3
версий,3
интегратор,3
инфраструктуру,3
людей,3
мир,3
работать,3
решение,3
офис,3
специалистов,3
работаем,3
itкомпания,3
разработанные,3
стране,3
профессионалов,3
клиент,3
разрабатывать,3
ansible,3
препрод,3
банка,3
развития,3
лучшие,3
инфраструктурой,3
нужно,3
крупнейшей,3
новые,3
способы,3
области,3
уровня,3
реализуем,3
международная,3
проекта,3
ecommerce,3
первую,3
запустили,3
го,3
мира,3
году,3
серверных,3
solutions,3
global,3
responsibilities,3
code,3
эксплуатации,3
jenkins,3
интеграции,3
путь,3
рынка,3
платформ,3
years,3
business,3
tools,3
развивать,3
проектировании,3
снг,3
архитектуры,3
делаем,3
игры,3
элементов,3
интеграция,3
крупных,3
режиме,3
процесса,3
улучшать,3
center,3
продукт,3
подготовка,3
разворачивание,3
test,3
communications,3
большим,3
онлайн,3
бизнес,3
эксплуатация,3
помощь,3
планов,3
контроль,3
физических,3
задач,2
знание,2
сопровождения,2
администрирования,2
технических,2
стремимся,2
сферы,2
базе,2
gillab,2
нагрузки,2
git,2
понимание,2
задача,2
готовы,2
loymax,2
лояльности,2
решениями,2
azure,2
amazon,2
холдинга,2
москве,2
цикла,2
проектирование,2
работает,2
communication,2
мис,2
ведущая,2
цифровизации,2
здравоохранения,2
облегчают,2
большинству,2
врачей,2
способных,2
мыслить,2
глобально,2
тренды,2
шанс,2
мире,2
онлайнритейлеров,2
специалисты,2
помогали,2
интернетпорталы,2
мобильные,2
сборка,2
анализ,2
аварий,2
принципов,2
iac,2
желательно,2
собой,2
помогаем,2
эффективность,2
механизмов,2
поставки,2
части,2
проектами,2
внедрения,2
кластера,2
mssql,2
отказоустойчивых,2
резидент,2
внедрением,2
цель,2
количество,2
построение,2
стань,2
участником,2
инициативы,2
создай,2
предоставления,2
потребления,2
участников,2
собираем,2
управленческие,2
методы,2
инновационных,2
цифровой,2
трансформации,2
направление,2
основе,2
лабс,2
платформу,2
жизни,2
российских,2
