word,count
разработка,164
sap,128
commerce,128
решений,114
основе,100
модулей,64
ecommerce,64
системы,64
базе,64
платформы,64
hybris,64
участие,64
проектировании,64
принятии,64
архитектурных,64
оценка,64
сроков,64
трудоемкости,64
реализации,64
задач,64
управление,64
лаборатория,50
касперского,50
работает,50
созданием,50
защищенных,50
продуктов,50
kasperskyos,50
одним,50
направлений,50
является,50
мобильного,50
телефона,50
безопасных,50
занимается,50
команда,50
набора,50
базовых,50
предстоит,50
заниматься,50
командо,50
занимаемся,50
автоматизацией,50
производственного,50
процесса,50
крупной,50
группе,50
компаний,50
работающей,50
сфере,50
жд,50
логистики,50
управляющей,50
вагонным,50
парком,50
единиц,50
автоматизируются,50
процессы,50
взаимодействия,50
клиентами,50
грузоотправителями,50
software,28
design,28
responsibilities,14
architecture,14
functional,14
staticdynamic,14
interfaces,14
workflowcollaborate,14
team,14
members,14
determine,14
best,14
practices,14
requirements,14
softwaresupport,14
developers,14
detailed,14
должностные,14
обязанности,14
командой,14
experienced,14
draftsperson,14
pe,14
sought,14
high,14
level,14
proficiency,14
chief,14
architect,14
experience,14
engineering,14
multistory,14
residential,14
buildings,14
using,14
conventional,14
platformstick,14
framing,14
dimensional,14
engineered,14
lumber,14
проект,3
цифровизация,3
банковской,3
деятельности,3
масштабная,3
экосистема,3
микросервисной,3
архитектурой,3
элементами,3
искусственного,3
интеллекта,3
которая,3
заменит,3
банковское,3
автоматизирует,3
бизнеспроцессы,3
расчета,3
кредитов,3
работы,3
,0
