word,count
обязанности,151
проектов,98
компания,82
project,71
проекта,70
компании,63
–,53
ищем,49
лет,46
manager,46
это,44
команду,44
клиентов,40
россии,39
менеджера,39
работу,38
контроль,35
компаний,35
участие,34
команда,33
работы,33
области,33
клиентами,33
разработка,32
работа,31
управление,30
решения,30
связи,29
анализ,29
разработки,28
ведение,28
требуется,28
рынке,27
менеджер,27
реализации,26
опыт,26
работаем,26
подготовка,26
проекты,25
наша,25
взаимодействие,25
продуктов,24
разработке,24
задач,23
которые,23
приглашает,23
услуг,23
требования,22
проектами,22
формирование,22
поиск,22
business,22
команде,21
проект,21
работать,21
деятельности,21
команды,21
новых,21
art,21
сфере,20
человек,20
который,19
командой,19
рынка,19
организация,19
привлечение,19
development,19
года,18
управления,18
задачи,18
крупных,18
разрабатываем,17
решений,17
наши,17
management,17
документации,16
создание,16
digital,16
работе,16
банка,16
привет,15
ит,15
нам,15
международная,15
день,15
сервис,15
сопровождение,15
продукты,15
ооо,15
процесса,14
выполнения,14
группы,14
которая,14
школа,14
проектной,14
автоматизации,14
руководством,14
корпоративных,14
ведущих,14
продаж,14
проведение,14
партнеров,14
создаем,13
специалистов,13
продукт,13
предприятий,13
территории,13
вопросам,13
договоров,13
работ,13
проектам,13
нашей,13
данных,13
сроков,12
тз,12
обеспечения,12
оборудования,12
технологий,12
предстоит,12
переговоров,12
такие,12
организовывать,12
удаленно,12
сервисов,12
experience,12
years,12
required,12
team,12
клиентам,11
группа,11
программного,11
лидер,11
бизнеса,11
образование,11
сбор,11
такси,11
среди,11
мобильные,11
приложения,11
дружную,11
ждем,11
skills,11
fields,11
значит,11
любой,11
процесс,11
самостоятельный,11
развитие,10
исполнения,10
разработчик,10
также,10
высшее,10
развитием,10
занимаемся,10
координация,10
smm,10
развития,10
требований,10
сотрудников,10
входит,10
технического,10
qualifications,10
bachelors,10
degree,10
related,10
preferred,10
handle,10
fast,10
paced,10
pipelines,10
eye,10
detail,10
ability,10
follow,10
корпоративными,10
обладаешь,10
структурным,10
мышлением,10
любовь,10
именно,10
ольги,10
коробейниковой,10
проактивный,10
энергичный,10
мобильных,9
строительства,9
услуги,9
используя,9
рынок,9
каждый,9
реализация,9
работают,9
планирование,9
выявление,9
осуществление,9
плана,9
вакансия,9
уровня,9
должность,9
кандидата,9
доступа,9
проекту,9
является,9
поддержка,9
services,9
looking,9
responsibilities,9
прямые,9
предложения,9
прожект,9
нового,8
просто,8
время,8
большое,8
количество,8
одного,8
работает,8
направления,8
детей,8
всему,8
помогаем,8
сделать,8
инструменты,8
обеспечение,8
направление,8
современным,8
активно,8
описание,8
разработчиков,8
занимающаяся,8
проектах,8
одна,8
бизнеспроцессов,8
различных,8
вакансию,8
заказа,8
которых,8
хотите,8
заниматься,8
нужен,8
свой,8
обучаем,8
делаем,8
рамках,8
наших,8
опытом,8
нашими,8
сервисы,8
