word,count
classhighlightqa,9
тестирования,8
ищем,6
команду,5
responsibilities,4
implementation,4
development,4
accordance,4
качества,4
опыт,4
quality,3
deployment,3
qmsystem,3
production,3
site,3
senior,3
компании,3
качеству,3
предстоит,3
разработчики,3
развития,3
разработки,3
требуется,3
мобильных,3
продукта,2
желанием,2
assurance,2
manager,2
main,2
russion,2
gmp,2
international,2
guidelines,2
according,2
global,2
qmhandbook,2
strategic,2
goals,2
plan,2
системы,2
участие,2
middle,2
уровня,2
около,2
человек,2
офис,2
работы,2
понимание,2
процессов,2
десктопных,2
вебприложений,2
наша,2
команда,2
это,2
талантливые,2
опытные,2
архитекторы,2
проектировщики,2
креативные,2
дизайнеры,2
любознательные,2
использующие,2
россии,2
любит,2
разрабатываем,1
продукты,1
базe,1
kasperskyos,1
предоставления,1
нашим,1
клиентам,1
понастоящему,1
качественного,1
профессионала,1
пытливым,1
умом,1
природным,1
любопытством,1
улучшать,1
процесс,1
международная,1
фармацевтическая,1
производственная,1
компания,1
приглашает,1
кандидатов,1
позицию,1
original,1
worldclass,1
pharmaceutical,1
company,1
opened,1
competition,1
position,1
sops,1
relevant,1
processes,1
цель,1
должности,1
построение,1
менеджмента,1
основные,1
функции,1
написании,1
стандартов,1
процедур,1
отслеживание,1
поддержание,1
базы,1
документации,1
области,1
пищевой,1
безопасности,1
актуальном,1
итландшафта,1
шанс,1
принимать,1
глобальном,1
процессе,1
активное,1
одна,1
вакансий,1
–,1
premiddle,1
делать,1
прохождение,1
функциональных,1
регрессионных,1
тесткейсов,1
ручное,1
тестирование,1
заказчиков,1
странах,1
команде,1
наших,1
дружелюбные,1
внимательные,1
поддерживающие,1
вовлечённые,1
менеджеры,1
регулярные,1
семинары,1
условия,1
обучения,1
оаэ,1
работает,1
опытного,1
инженера,1
контролю,1
наш,1
расположенный,1
самаре,1
итд,1
ожидаем,1
сфере,1
платформы,1
appercode,1
собственного,1
платформа,1
внедрена,1
используется,1
крупных,1
российских,1
иностранных,1
компаниях,1
вертикалях,1
приложений,1
оффлайн,1
скилловую,1
дружную,1
финансового,1
ассистента,1
олега,1
c,1
широким,1
кругозором,1
работать,1
backendсистемами,1
web,1
mobile,1
ios,1
android,1
решать,1
множество,1
разноплановых,1
задач,1
привет,1
нам,1
интернетэквайринга,1
middlesenior,1
вместе,1
командой,1
будут,1
ждать,1
интересные,1
задачи,1
новые,1
проекты,1
обещаем,1
тебе,1
интересно,1
коллектив,1
профессиональным,1
командным,1
востребованные,1
ит,1
решения,1
улучшающие,1
качество,1
жизни,1
людей,1
нашу,1
надежную,1
рады,1
пригласить,1
будешь,1
участвовать,1
тестировании,1
управления,1
лодочными,1
портами,1
иностранного,1
клиента,1
стек,1
проекта,1
ms,1
комплексному,1
использованию,1
банковских,1
услуг,1
среднего,1
малого,1
бизнеса,1
поэтому,1
человека,1
который,1
умеет,1
тестировать,1
органически,1
выпускать,1
некачественный,1
продукт,1
готов,1
занимаемся,1
разработкой,1
заказ,1
основном,1
компаний,1
сша,1
западной,1
европы,1
работаем,1
офисах,1
центральный,1
санктпетербурге,1
офисы,1
таганроге,1
ростовенадону,1
минске,1
также,1
shopmtsru,1
поисках,1
специалист,1
тестированию,1
следующими,1
знаниями,1
api,1
использованием,1
fiddler,1
postman,1
soapui,1
методологий,1
практик,1
субд,1
умение,1
региональный,1
центр,1
контроля,1
санктпетербург,1
рцтикк,1
структурное,1
подразделение,1
центра,1
департамента,1
информационных,1
технологий,1
банка,1
занимающееся,1
работу,1
используя,1
имеющиеся,1
фреймворки,1
инструменты,1
видим,1
роль,1
fullstack,1
одно,1
направлений,1
готовы,1
обучать,1
автоматизации,1
заниматься,1
ручным,1
автоматизированным,1
,0
