word,count
инфраструктуры,77
опыт,77
сети,77
сетевого,77
работы,66
обязанности,66
оборудования,66
classhighlightсетевой,66
cisco,44
работу,44
устранение,44
l,44
технической,44
образование,33
обслуживание,33
ищем,33
лвс,33
настройка,33
мониторинг,33
знание,33
безопасности,33
сетей,33
разработка,33
заявок,33
участие,33
проектах,33
оборудованием,33
работа,33
поддержки,33
взаимодействие,22
высшее,22
делают,22
bytex,22
администрирование,22
около,22
активного,22
администрировать,22
сетевую,22
обеспечение,22
обеспечивать,22
бесперебойную,22
кассовых,22
терминалов,22
оргтехники,22
программного,22
обеспечения,22
требования,22
информационных,22
построения,22
должности,22
опытом,22
модернизации,22
преимуществом,22
компании,22
современным,22
коммутационным,22
второй,22
линии,22
совместно,22
напарником,22
исполнениезакрытие,22
развитию,22
приглашает,22
технологий,22
модернизация,11
техподдержкой,11
контроль,11
работой,11
подрядчиков,11
провайдеров,11
ждем,11
желательно,11
профильное,11
ведущим,11
системным,11
крупно,11
многолетний,11
высокий,11
профессионализм,11
наших,11
специалистов,11
обширный,11
парк,11
устройств,11
способность,11
справиться,11
любой,11
задачей,11
праву,11
ведущей,11
компанией,11
сфере,11
тестирования,11
наша,11
команда,11
это,11
люди,11
которые,11
сетевой,11
рабочих,11
мест,11
базе,11
распределенной,11
единиц,11
развертывание,11
коммутаторов,11
приглашаем,11
галамарт,11
франчайзинговую,11
розничную,11
сеть,11
включающую,11
магазинов,11
география,11
охватывает,11
огромную,11
территорию,11
санктпетербурга,11
минска,11
новосибирска,11
красноярска,11
каждый,11
месяц,11
открываем,11
позицию,11
администратора,11
человека,11
развитыми,11
профессиональными,11
навыками,11
проявляющего,11
дружелюбность,11
взаимодействии,11
коллегами,11
партнерами,11
нужно,11
делать,11
проводную,11
беспроводную,11
планирование,11
корпоративной,11
бесперебойной,11
территориально,11
распределённую,11
инфраструктуру,11
маршрутизаторов,11
создание,11
vpn,11
каналов,11
vlan,11
своевременное,11
заниматься,11
решением,11
вопросов,11
текущим,11
неполадкам,11
компьютерной,11
торгового,11
подключенного,11
вычислительной,11
принципов,11
системах,11
масштабируемых,11
локальных,11
знания,11
администрирования,11
серверных,11
ос,11
семейства,11
windows,11
unix,11
active,11
directory,11
средств,11
централизованного,11
неполадок,11
предоставление,11
отчетности,11
руководству,11
среднее,11
профессиональное,11
возможно,11
архитектуры,11
предприятия,11
mikrotik,11
системного,11
лет,11
эксплуатации,11
дежурная,11
смена,11
выявление,11
неисправностей,11
единой,11
передачи,11
данных,11
общение,11
организациями,11
отрасли,11
магистральными,11
провайдерами,11
подача,11
возникновении,11
инцидентов,11
вакантной,11
итслужбу,11
специалиста,11
инфраструктурой,11
йчивости,11
внедрение,11
решений,11
vxlan,11
evpn,11
наличие,11
действующих,11
сертификатов,11
juniper,11
должен,11
знать,11
постановления,11
распоряжения,11
приказы,11
другие,11
руководящие,11
нормативные,11
документы,11
вышестоящих,11
рядом,11
домом,11
профессиональный,11
рост,11
стабильной,11
официальную,11
заработную,11
плату,11
