word,count
the,47
span,36
in,31
role,30
to,29
classhighlightteam,20
leadspan,20
of,19
and,17
for,17
are,16
product,15
classhighlightteamspan,15
youТll,15
up,14
onboard,14
start,14
getting,14
value,14
from,14
about,14
we,14
looking,14
an,14
experienced,14
join,14
our,14
growth,14
perm,14
this,14
have,14
opportunity,14
help,14
millions,14
customers,14
discover,14
miro,14
through,14
решени€,6
в,6
unit,4
задач,4
и,4
мы,4
ищем,4
you,3
on,3
a,2
will,2
be,2
crypto,2
startups,2
pre,2
ipo,2
equity,2
trading,2
mission,2
assets,2
fingertips,2
functions,2
дл€,2
повышени€,2
эффективности,2
проводить,2
анализ,2
обобщать,2
однотипные,2
команде,2
кого,2
команду,2
можно,2
без,2
опыта,2
управлени€,2
командой,2
но,2
с,2
большим,2
опытом,2
желанием,2
развиватьс€,2
years,2
experience,2
best,1
work,1
your,1
career,1
make,1
profound,1
social,1
impact,1
what,1
achieve,1
as,1
supporting,1
software,1
engineers,1
working,1
infrastructure,1
components,1
ecs,1
objectscale,1
contribute,1
desk,1
classhighlightleadspan,1
liquidity,1
digital,1
while,1
preventing,1
risks,1
analysts,1
data,1
develop,1
backend,1
services,1
interfaces,1
or,1
transfer,1
manage,1
mobile,1
financial,1
life,1
at,1
clientsfirst,1
client,1
building,1
ensure,1
teammates,1
test,1
nodejs,1
redis,1
kafka,1
mongodb,1
docker,1
elk,1
tick,1
kubernetes,1
terraform,1
ansible,1
python,1
requirements,1
position,1
linux,1
administration,1
cicd,1
development,1
strong,1
support,1
,0
